,game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
7774,2015020002,8475182,16,1108,0,0,2,0.0,0,0,0,0,0,0.0,3.0,0,0,0.0,0,1108,0,0
7775,2015020002,8476381,16,884,0,0,1,5.0,0,0,2,4,7,0.0,1.0,0,0,0.0,0,795,0,89
8190,2015020832,8466148,16,578,0,0,3,1.0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,488,55,35
8191,2015020832,8471769,16,1471,0,0,1,0.0,0,0,0,0,0,1.0,1.0,0,0,0.0,-1,1241,230,0
8192,2015020832,8471956,16,998,1,0,0,1.0,0,0,0,0,0,0.0,0.0,0,0,1.0,1,853,145,0
8193,2015020832,8465058,16,1012,0,0,1,2.0,0,0,2,0,0,1.0,0.0,0,0,1.0,0,985,0,27
8194,2015020832,8477929,16,444,0,0,0,3.0,0,0,0,1,4,0.0,0.0,0,0,0.0,0,444,0,0
8195,2015020832,8470607,16,1311,0,2,5,4.0,1,0,0,0,0,0.0,1.0,0,0,5.0,0,1150,50,111
8196,2015020832,8475209,16,646,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,646,0,0
8197,2015020832,8473604,16,1246,0,0,1,2.0,0,0,0,11,19,1.0,1.0,0,0,2.0,1,1074,108,64
8198,2015020832,8476479,16,739,0,0,2,3.0,0,0,0,4,17,0.0,0.0,0,0,1.0,0,739,0,0
8199,2015020832,8477845,16,1214,0,0,2,1.0,0,0,0,0,0,2.0,1.0,0,0,0.0,0,1164,50,0
8200,2015020832,8478137,16,438,0,0,0,2.0,0,0,2,0,0,0.0,0.0,0,0,0.0,0,438,0,0
8201,2015020832,8476882,16,962,0,0,0,0.0,0,0,0,1,3,1.0,0.0,0,0,1.0,-2,898,37,27
8202,2015020832,8470281,16,1635,1,0,1,0.0,0,1,0,0,0,0.0,0.0,0,0,2.0,-1,1294,230,111
8203,2015020832,8477300,16,758,0,0,2,1.0,0,0,0,0,0,0.0,0.0,0,0,1.0,0,758,0,0
8204,2015020832,8474141,16,1372,1,0,1,1.0,0,1,0,0,0,0.0,0.0,0,0,0.0,-1,1251,0,121
8205,2015020832,8473573,16,1245,0,0,3,1.0,0,0,0,9,18,0.0,0.0,0,0,1.0,-1,996,175,74
8206,2015020832,8478550,16,948,0,0,0,1.0,0,0,2,0,0,0.0,0.0,0,0,0.0,-1,863,0,85
8207,2015020832,8476381,16,1031,1,0,1,3.0,0,0,0,0,1,0.0,1.0,0,0,0.0,1,996,0,35
8748,2015020047,8466148,16,1052,0,0,4,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,623,121,308
