,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
44370,2013030161,8470645,16,6026,0,0,0,52,48,9,3,36,3,40,9,92.3076923076923,100.0,90.0
44372,2013030162,8470645,16,3950,0,0,0,31,27,9,1,17,1,20,10,87.0967741935484,90.0,85.0
44375,2013030163,8470645,16,3600,0,0,0,34,34,7,0,27,0,27,7,100.0,100.0,100.0
44377,2013030164,8470645,16,4277,0,0,0,33,30,6,1,23,1,25,7,90.9090909090909,85.7142857142857,92.0
44378,2013030165,8470645,16,4056,0,0,0,29,27,1,2,24,2,26,1,93.1034482758621,100.0,92.3076923076923
44381,2013030166,8470645,16,3600,0,0,0,36,35,11,0,24,0,25,11,97.2222222222222,100.0,96.0
44491,2014030231,8470645,16,3600,0,0,0,33,30,4,0,26,0,28,5,90.9090909090909,80.0,92.8571428571429
44493,2014030232,8470645,16,3600,0,0,0,31,30,1,0,29,0,29,2,96.7741935483871,50.0,100.0
44494,2014030233,8470645,16,3600,0,0,0,30,30,3,0,27,0,27,3,100.0,100.0,100.0
44496,2014030234,8470645,16,3600,0,0,0,37,34,4,0,30,0,32,5,91.8918918918919,80.0,93.75
44499,2013030321,8470645,16,3600,0,0,0,26,25,1,0,24,0,25,1,96.1538461538462,100.0,96.0
44501,2013030322,8470645,16,3546,0,0,0,30,25,4,0,21,0,24,6,83.3333333333333,66.6666666666667,87.5
44502,2013030323,8470645,16,3460,0,0,0,32,28,7,1,20,1,23,8,87.5,87.5,86.9565217391304
44504,2013030324,8470645,16,3481,0,0,0,20,16,2,0,14,0,16,4,80.0,50.0,87.5
44507,2013030325,8470645,16,4921,0,0,0,44,40,6,1,33,1,37,6,90.9090909090909,100.0,89.1891891891892
44508,2013030326,8470645,16,3600,0,0,0,29,26,2,0,24,0,26,3,89.6551724137931,66.6666666666667,92.3076923076923
44511,2013030327,8470645,16,3945,0,0,0,32,27,0,1,26,1,31,0,84.375,0.0,83.8709677419355
44563,2015030161,8470645,16,4144,0,0,0,18,17,3,0,14,0,15,3,94.4444444444444,100.0,93.3333333333333
44565,2015030162,8470645,16,3600,0,0,0,31,29,1,0,28,0,30,1,93.5483870967742,100.0,93.3333333333333
44568,2015030163,8470645,16,3530,0,0,0,36,33,2,0,31,0,32,4,91.6666666666667,50.0,96.875
44570,2015030164,8470645,16,3514,0,0,2,20,16,4,0,12,0,14,6,80.0,66.6666666666667,85.7142857142857
44571,2015030165,8470645,16,4987,0,0,0,46,43,6,0,37,0,39,7,93.4782608695652,85.7142857142857,94.8717948717949
44574,2015030166,8470645,16,3600,0,0,0,28,25,2,2,21,2,24,2,89.2857142857143,100.0,87.5
44575,2015030167,8470645,16,3493,0,0,0,26,23,2,0,21,0,24,2,88.4615384615385,100.0,87.5
44734,2013030231,8470645,16,3600,0,0,0,32,30,4,1,25,1,27,4,93.75,100.0,92.5925925925926
44736,2013030232,8470645,16,3600,0,0,0,19,18,4,0,14,0,15,4,94.7368421052632,100.0,93.3333333333333
44737,2013030233,8470645,16,3547,0,0,0,17,14,1,0,13,0,15,2,82.3529411764706,50.0,86.6666666666667
44739,2013030234,8470645,16,3472,0,0,0,31,27,5,0,22,0,25,6,87.0967741935484,83.3333333333333,88.0
44742,2013030235,8470645,16,3567,0,0,0,28,27,1,0,26,0,27,1,96.4285714285714,100.0,96.2962962962963
44743,2013030236,8470645,16,4182,0,0,0,35,34,3,0,31,0,32,3,97.1428571428571,100.0,96.875
44917,2014030161,8470645,16,1200,0,0,0,12,9,3,0,6,0,8,4,75.0,75.0,75.0
44918,2014030161,8474152,16,4064,0,0,0,42,42,7,1,34,1,34,7,100.0,100.0,100.0
44920,2014030162,8470645,16,3600,0,0,0,35,29,4,0,25,0,30,5,82.8571428571429,80.0,83.3333333333333
44923,2014030163,8474152,16,3600,0,0,0,37,35,3,1,31,1,33,3,94.5945945945946,100.0,93.9393939393939
44925,2014030164,8474152,16,6059,0,0,0,52,50,1,0,49,0,50,2,96.1538461538462,50.0,98.0
44926,2014030165,8474152,16,3467,0,0,0,28,24,2,2,20,2,23,3,85.7142857142857,66.6666666666667,86.9565217391304
44929,2014030166,8470645,16,2924,0,0,0,13,13,3,0,10,0,10,3,100.0,100.0,100.0
44930,2014030166,8474152,16,676,0,0,0,12,9,0,0,9,0,11,1,75.0,0.0,81.8181818181818
44948,2016030151,8470645,16,3478,0,0,0,20,19,1,0,18,0,19,1,95.0,100.0,94.7368421052632
44950,2016030152,8470645,16,3597,0,0,0,29,24,1,0,23,0,27,2,82.7586206896552,50.0,85.1851851851852
44951,2016030153,8470645,16,4604,0,0,0,49,46,1,1,44,1,47,1,93.8775510204082,100.0,93.6170212765958
44953,2016030154,8470645,16,3548,0,0,0,25,22,4,0,18,0,21,4,88.0,100.0,85.7142857142857
44967,2014030321,8470645,16,3534,0,0,0,26,23,2,1,20,1,23,2,88.4615384615385,100.0,86.9565217391304
44969,2014030322,8470645,16,6972,0,0,0,62,60,6,1,53,1,55,6,96.7741935483871,100.0,96.3636363636364
44972,2014030323,8470645,16,3480,0,0,0,27,25,0,0,25,0,26,1,92.5925925925926,0.0,96.1538461538462
44974,2014030324,8470645,16,5130,0,0,0,51,47,6,0,41,0,45,6,92.156862745098,100.0,91.1111111111111
44975,2014030325,8470645,16,3568,0,0,0,28,23,4,0,19,0,24,4,82.1428571428571,100.0,79.1666666666667
44978,2014030326,8470645,16,3600,0,0,0,32,30,5,1,24,1,25,6,93.75,83.3333333333333,96.0
44979,2014030327,8470645,16,3600,0,0,0,38,35,2,0,33,0,35,3,92.1052631578947,66.6666666666667,94.2857142857143
45186,2012030231,8470645,16,3600,0,0,0,21,20,4,1,15,1,16,4,95.2380952380952,100.0,93.75
45188,2012030232,8470645,16,3600,0,0,0,30,26,6,1,19,1,23,6,86.6666666666667,100.0,82.6086956521739
45189,2012030233,8470645,16,3526,0,0,0,30,27,6,0,21,0,24,6,90.0,100.0,87.5
45191,2012030234,8470645,16,3515,0,0,0,26,25,6,1,18,1,18,7,96.1538461538462,85.7142857142857,100.0
45194,2012030235,8470645,16,3592,0,0,0,26,25,6,0,19,0,20,6,96.1538461538462,100.0,95.0
45195,2012030236,8470645,16,3598,0,0,0,38,35,5,0,30,0,33,5,92.1052631578947,100.0,90.9090909090909
45198,2012030237,8470645,16,3815,0,0,0,27,26,4,0,22,0,23,4,96.2962962962963,100.0,95.6521739130435
45211,2012030151,8470645,16,4595,0,0,0,27,26,6,1,19,1,20,6,96.2962962962963,100.0,95.0
45213,2012030152,8470645,16,3600,0,0,0,28,26,7,0,19,0,21,7,92.8571428571429,100.0,90.4761904761905
45214,2012030153,8470645,16,3735,0,0,0,37,34,5,1,28,1,31,5,91.8918918918919,100.0,90.3225806451613
45216,2012030154,8470645,16,3600,0,0,0,25,25,7,0,18,0,18,7,100.0,100.0,100.0
45221,2012030155,8470645,16,3600,0,0,0,22,21,4,0,17,0,18,4,95.4545454545455,100.0,94.4444444444444
45302,2010030151,8470645,16,3480,0,0,0,33,31,2,2,27,2,29,2,93.9393939393939,100.0,93.1034482758621
45304,2010030152,8470645,16,3510,0,0,0,27,23,0,1,22,1,25,1,85.1851851851852,0.0,88.0
45307,2010030153,8470645,16,3508,0,0,0,26,23,1,2,20,2,22,2,88.4615384615385,50.0,90.9090909090909
45310,2010030154,8470645,16,3568,1,0,0,23,21,5,0,16,0,16,7,91.304347826087,71.4285714285714,100.0
45311,2010030155,8470645,16,3600,1,0,0,36,36,6,0,30,0,30,6,100.0,100.0,100.0
45316,2010030156,8470645,16,4530,0,0,0,35,32,1,0,31,0,34,1,91.4285714285714,100.0,91.1764705882353
